"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2019,35929763,117858664,1,07-OCT-19,2,"N",35,5,39,"M",3,2,"N","","",39,0
2019,35929791,117858754,1,02-JUN-19,1,"N",51,5,60,"M",1,2,"R","","",60,0
2019,35929797,117858774,1,12-OCT-19,2,"N",5,5,28,"F",8,2,"","","",28,0
2019,35928021,117858784,1,15-OCT-19,1,"C",16,5,30,"M",1,2,"","","",30,0
2019,35928078,117863325,1,26-SEP-19,2,"N",16,5,27,"M",1,2,"R","","",27,0
2019,35928086,117858893,1,20-JUN-19,1,"N",27,5,22,"F",2,2,"U","","",22,0
2019,35929837,117858912,1,28-OCT-19,1,"C",44,5,38,"M",1,2,"","","",38,0
2019,35932365,117885383,1,02-NOV-19,3,"N",51,5,19,"F",1,1,"N","","",19,0
2019,35932370,117880832,1,22-OCT-19,2,"N",23,5,56,"F",1,2,"R","","",56,0
2019,35932378,117886490,1,08-OCT-19,3,"N",51,5,24,"M",1,2,"","","",24,0
2019,35935702,117880882,1,13-OCT-19,3,"N",51,5,20,"M",1,2,"R","","",20,0
2019,35932389,117880921,1,22-OCT-19,2,"N",45,5,18,"M",1,2,"R","","",18,0
2019,35932390,117880921,2,22-OCT-19,2,"N",45,5,18,"M",1,2,"R","","",18,0
2019,35940835,117880931,1,27-OCT-19,3,"N",51,5,23,"F",1,2,"","","",23,0
2019,35940970,117891513,1,29-OCT-19,3,"N",21,5,24,"M",1,1,"N","","",24,0
2019,35941106,117896332,1,23-SEP-19,1,"N",51,5,65,"M",1,2,"R","","",65,0
2019,35935936,117896389,1,30-JUN-19,1,"N",44,5,23,"M",2,2,"R","","",23,0
2019,35941142,117891990,1,15-OCT-19,3,"N",51,5,18,"M",1,1,"","","",18,0
2019,35941148,117892002,1,10-NOV-19,3,"N",48,5,23,"M",2,2,"N","","",23,0
2019,35932719,117887153,1,13-NOV-19,2,"N",16,5,34,"M",1,2,"R","","",34,0
2019,35941157,117892049,1,13-OCT-19,3,"C",23,5,37,"M",2,2,"R","","",37,0
2019,35935955,117892109,1,26-SEP-19,1,"N",16,5,20,"M",1,2,"N","","",20,0
2019,35932747,117892158,1,19-SEP-19,2,"N",5,5,42,"M",4,3,"N","","",42,0
2019,35933181,117893523,1,12-OCT-19,2,"N",51,5,40,"M",1,2,"","","",40,0
2019,35941669,117893640,1,28-OCT-19,1,"N",49,5,32,"M",1,2,"","","",32,0
2019,35933208,117893656,1,15-OCT-19,2,"N",39,5,13,"M",2,2,"R","R","",13,0
2019,35933213,117893672,1,05-OCT-19,3,"N",29,5,22,"M",1,2,"U","","",22,0
2019,33679395,112516598,1,27-MAR-19,3,"N",29,5,33,"M",1,1,"","","",33,0
2019,33681927,112516849,3,05-APR-19,2,"N",23,5,15,"F",2,2,"","R","",15,0
2019,33681925,112516849,1,05-APR-19,3,"N",23,5,15,"F",2,2,"","R","",15,0
2019,33681926,112516849,2,05-APR-19,2,"N",23,5,16,"F",2,2,"","R","",16,0
2019,33679459,112516869,1,21-MAR-19,2,"N",51,5,14,"F",1,1,"R","R","",14,0
2019,33679464,112516879,1,01-MAY-19,2,"N",35,5,29,"F",3,2,"","","",29,0
2019,33679482,112516910,1,10-MAY-19,1,"N",27,5,59,"M",1,2,"R","","",59,0
2019,37661731,122666968,2,29-MAY-19,1,"N",16,5,26,"M",1,2,"R","","",26,0
2019,37664726,122666968,1,29-MAY-19,1,"N",39,5,30,"M",0,3,"R","","",30,0
2019,37661739,122667045,1,15-OCT-19,3,"N",16,5,35,"M",1,1,"R","","",35,0
2019,33681979,112516940,1,02-MAY-19,1,"N",27,5,24,"F",1,2,"","","",24,0
2019,33681981,112510701,1,08-MAY-19,2,"C",23,5,35,"F",1,2,"","","",35,0
2019,37664752,122667093,1,16-MAY-19,3,"N",28,5,30,"M",1,2,"R","","",30,0
2019,33679502,112516951,1,08-MAY-19,1,"C",51,5,13,"M",1,,"","R","",13,0
2019,33685871,112516952,1,14-APR-19,2,"N",23,5,63,"F",2,2,"","","",63,0
2019,33685873,112516956,1,09-MAY-19,2,"N",23,5,30,"M",1,2,"","","",30,0
2019,33681992,112516968,1,03-MAY-19,1,"N",16,5,56,"M",1,2,"N","","",56,0
2019,33689520,112514267,1,15-APR-19,3,"N",29,5,28,"M",1,2,"","","",28,0
2019,33689525,112510762,1,04-MAY-19,1,"N",51,5,18,"M",1,2,"","","",18,0
2019,33685881,112516982,1,17-MAY-19,2,"N",23,5,44,"M",1,2,"R","","",44,0
2019,33689530,112514283,1,11-MAY-19,2,"N",23,5,40,"M",1,2,"","","",40,0
2019,33685883,112516991,1,13-APR-19,3,"C",51,5,17,"F",1,2,"","R","",17,0
2019,33689535,112517021,1,12-MAY-19,1,"N",27,5,16,"M",1,1,"","R","",16,0
2019,33682024,112517061,1,19-APR-19,2,"N",23,5,45,"F",1,2,"","","",45,0
2019,33682034,112517078,1,15-MAY-19,2,"N",23,5,42,"M",2,2,"","","",42,0
2019,36223732,118778871,3,16-NOV-19,1,"N",16,5,31,"F",1,2,"R","","",31,0
2019,36223731,118778871,2,16-NOV-19,2,"N",42,5,46,"M",1,2,"R","","",46,0
2019,36225444,118778871,1,16-NOV-19,1,"N",16,5,37,"M",1,2,"N","","",37,0
2019,36223733,118778875,1,01-NOV-19,1,"N",51,5,46,"M",1,2,"R","","",46,0
2019,36225447,118782592,1,24-JUN-19,2,"N",45,5,25,"M",1,1,"","","",25,0
2019,36223734,118782595,1,16-NOV-19,1,"N",51,5,47,"M",1,2,"R","","",47,0
2019,36230217,118782598,1,24-JUN-19,1,"N",51,5,15,"F",2,2,"","R","",15,0
2019,36230218,118782601,1,10-OCT-19,1,"N",51,5,24,"M",2,2,"","","",24,0
2019,36223736,118787389,1,01-NOV-19,1,"N",51,5,17,"M",2,2,"R","R","",17,0
2019,33810172,112824150,1,24-MAY-19,2,"C",23,5,41,"F",1,2,"R","","",41,0
2019,33807088,112824157,2,25-JUN-19,2,"N",35,5,28,"M",2,2,"","","",28,0
2019,33807104,112827768,1,17-MAY-19,2,"N",51,5,49,"M",1,2,"","","",49,0
2019,33810175,112824166,1,18-JUN-19,3,"N",51,5,51,"M",1,2,"R","","",51,0
2019,33807109,112824167,1,28-JUN-19,3,"N",51,5,47,"M",1,1,"","","",47,0
2019,33803899,112824172,1,27-MAY-19,1,"C",51,5,55,"M",1,3,"R","","",55,0
2019,33803906,112827816,1,01-MAR-19,3,"C",16,5,40,"F",3,2,"","","",40,0
2019,33807123,112827827,1,22-MAY-19,3,"N",16,5,28,"F",1,2,"N","","",28,0
2019,33807130,112824195,1,03-JUN-19,1,"N",51,5,54,"M",1,2,"","","",54,0
2019,33810187,112824210,1,30-MAY-19,3,"N",16,5,39,"M",4,2,"R","","",39,0
2019,33810188,112827872,1,05-JUL-19,2,"N",51,5,45,"M",1,1,"","","",45,0
2019,33807140,112831104,1,21-JUN-19,3,"N",16,5,35,"M",1,2,"R","","",35,0
2019,33807148,112824226,1,30-MAY-19,1,"C",48,5,50,"M",1,2,"R","","",50,0
2019,33807162,112827922,1,11-JUN-19,3,"N",48,5,51,"M",1,2,"","","",51,0
2019,33807169,112824266,1,28-JUN-19,2,"N",16,5,34,"M",2,2,"N","","",34,0
2019,33803939,112824276,1,25-JUN-19,2,"N",23,5,29,"F",1,3,"N","","",29,0
2019,33807202,112824309,1,01-MAR-19,3,"C",16,5,42,"M",1,2,"N","","",42,0
2019,33803947,112828025,1,07-MAR-19,3,"C",49,5,33,"M",1,2,"R","","",33,0
2019,33810251,112831265,1,04-JUN-19,1,"N",39,5,17,"M",1,1,"N","R","",17,0
2019,33804001,112824486,1,09-JUN-19,2,"N",45,5,63,"M",1,2,"N","","",63,0
2019,33804034,112824569,1,03-JUL-19,2,"N",45,5,67,"M",1,2,"N","","",67,0
2019,33804040,112831327,1,30-JUN-19,2,"N",51,5,34,"F",1,2,"N","","",34,0
2019,33804042,112824583,1,09-JUN-19,2,"N",35,5,40,"M",1,2,"N","","",40,0
2019,33804057,112824625,1,06-JUN-19,1,"N",51,5,33,"M",1,1,"N","","",33,0
